name,url,description,stars,forks,language,created_at,updated_at
jiesou/MFWL-Minecraft-For-Windows-Unlock-Launcher,https://github.com/jiesou/MFWL-Minecraft-For-Windows-Unlock-Launcher,解锁 Minecraft for Windows （MCBE）的一键 BAT 脚本,55,9,Batchfile,2022-01-26T15:08:58Z,2025-10-23T17:06:16Z
dend/windows-dev-box,https://github.com/dend/windows-dev-box,💻 Scripts and relevant configuration to set up my Windows development box.,54,10,Batchfile,2021-06-11T23:13:24Z,2025-10-24T13:14:08Z
Aatricks/Android-battery-optimization,https://github.com/Aatricks/Android-battery-optimization,Here's a repo including diverse adb commands to maximize battery life and sot on non-rooted android,53,5,Batchfile,2024-01-23T17:50:46Z,2025-10-28T02:40:13Z
Chainski/WindowsCleanerUtility,https://github.com/Chainski/WindowsCleanerUtility,A minimal windows batch script that cleans your PC from temporary files.,52,6,Batchfile,2022-08-11T14:11:30Z,2025-10-31T23:53:59Z
yasser-alghamdi/winterfell-collection,https://github.com/yasser-alghamdi/winterfell-collection,"Winterfell is a group of windows batch scripts to collect Windows forensics data and perform efficient, and fast incident response and threat hunting activities.",52,12,Batchfile,2020-02-20T18:13:09Z,2025-06-10T13:56:10Z
Batlez/Batlez-Tweaks,https://github.com/Batlez/Batlez-Tweaks,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",52,9,Batchfile,2022-05-29T22:36:21Z,2025-11-03T11:07:08Z
custom-dev-tools/wampserver-php-cli-version-changer,https://github.com/custom-dev-tools/wampserver-php-cli-version-changer,WampServer PHP CLI version changer is a Microsoft Windows batch script that allows you to easily add and then change between available WampServer PHP CLI versions using the users environment 'path' variable.,52,7,Batchfile,2018-03-23T05:53:02Z,2025-08-12T15:23:23Z
anic17/Batch-Antivirus,https://github.com/anic17/Batch-Antivirus,"Batch Antivirus, a powerful antivirus suite written in batch with real-time protection and heuristical scanning.",52,5,Batchfile,2020-06-20T20:52:35Z,2025-10-16T08:36:05Z
danielj0nes/Activate-Windows10-Pro-Script,https://github.com/danielj0nes/Activate-Windows10-Pro-Script,Batch script to activate Windows 10 Pro for free (requires an unlicensed installation of Windows 10).,51,12,Batchfile,2019-12-30T15:49:27Z,2025-10-03T07:45:52Z
dfkt/win-cmd-tools,https://github.com/dfkt/win-cmd-tools,Collection of some Windows commandline tools/batch scripts I use on a daily-ish basis.,51,17,Batchfile,2015-02-19T21:14:08Z,2024-08-22T17:40:44Z
ParrySMS/batteryreport,https://github.com/ParrySMS/batteryreport,a simple bat to get battery report,51,12,Batchfile,2018-12-28T07:14:11Z,2025-09-24T18:20:26Z
itsHenry35/Adobe-flash-player-installer,https://github.com/itsHenry35/Adobe-flash-player-installer,A bat installer to install adobe flash player which bypasses the date restrict,51,6,Batchfile,2022-03-26T08:11:09Z,2025-04-05T18:26:09Z
2rf/winGetDebloated,https://github.com/2rf/winGetDebloated,🧹 A winget bloatware removal tool made in batch,50,6,Batchfile,2021-08-19T02:18:20Z,2025-10-16T08:37:12Z
amakvana/Bat-2-Exec,https://github.com/amakvana/Bat-2-Exec,Bat-2-Exec - A wrapper for converting Batch files into Executables using IExpress,50,6,Batchfile,2020-06-19T10:33:37Z,2025-10-19T19:08:29Z
tcja/Windows-10-tweaks,https://github.com/tcja/Windows-10-tweaks,This repo contains multiple scripts to optimize windows 10,48,5,Batchfile,2019-04-26T17:05:32Z,2025-10-09T07:21:42Z
ykeara/SteamVR-Dongle-Flash,https://github.com/ykeara/SteamVR-Dongle-Flash,A simple Guide and batch script to flash steam controller dongles to watchman dongles for SteamVR/OpenVR,48,4,Batchfile,2019-04-26T20:40:34Z,2025-10-04T14:05:54Z
